season,week,generated_at,section,sort_order,metric_key,label,value,display_value,unit,sample_size,description,source_artifact
2026,3,2026-09-22T21:15:24.366566+00:00,model_performance,10,evaluation_games,Evaluated games,2251,"2,251",games,2251,Completed historical games included in the current walk-forward evaluation window.,predictions/evaluation/overall_metrics.csv
2026,3,2026-09-22T21:15:24.366566+00:00,model_performance,20,accuracy,Straight-up accuracy,0.6508218569524655,65.1%,percent,2251,Model accuracy for predicting outright winners.,predictions/evaluation/overall_metrics.csv
2026,3,2026-09-22T21:15:24.366566+00:00,model_performance,30,f1,F1 score,0.6929687499999999,69.3%,percent,2251,Balanced precision/recall score for home-win classification.,predictions/evaluation/overall_metrics.csv
2026,3,2026-09-22T21:15:24.366566+00:00,model_performance,40,auc,AUC,0.7087788214928945,0.709,decimal,2251,Rank-order separation for home-win probabilities.,predictions/evaluation/overall_metrics.csv
2026,3,2026-09-22T21:15:24.366566+00:00,model_performance,50,brier,Brier score,0.2175238420989577,0.218,decimal,2251,Probability accuracy score; lower is better.,predictions/evaluation/overall_metrics.csv
2026,3,2026-09-22T21:15:24.366566+00:00,model_performance,60,log_loss,Log loss,0.6253500914187022,0.625,decimal,2251,Penalty for overconfident wrong probabilities; lower is better.,predictions/evaluation/overall_metrics.csv
2026,3,2026-09-22T21:15:24.366566+00:00,model_performance,70,mae_margin,Margin MAE,10.215540404555552,10.22,points,2251,Average absolute error of predicted game margin.,predictions/evaluation/overall_metrics.csv
2026,3,2026-09-22T21:15:24.366566+00:00,model_performance,80,rmse_margin,Margin RMSE,13.257165943763484,13.26,points,2251,Root-mean-square margin error; penalizes large misses.,predictions/evaluation/overall_metrics.csv
2026,3,2026-09-22T21:15:24.366566+00:00,market_benchmark,110,vegas_favorite_accuracy,Vegas favorite accuracy,0.6623722789871168,66.2%,percent,2251,No-vig Vegas favorite accuracy over the same evaluated games.,analysis/market_benchmark_summary.csv
2026,3,2026-09-22T21:15:24.366566+00:00,market_benchmark,120,model_vegas_agreement_rate,Model/Vegas agreement,0.8667258996001777,86.7%,percent,2251,Share of games where model and no-vig Vegas favorite picked the same side.,analysis/market_benchmark_summary.csv
2026,3,2026-09-22T21:15:24.366566+00:00,market_benchmark,130,model_vegas_disagreement_games,Disagreement games,300,300,games,300,Games where the model and no-vig Vegas favorite picked opposite sides.,analysis/market_benchmark_summary.csv
2026,3,2026-09-22T21:15:24.366566+00:00,market_benchmark,140,disagreement_model_accuracy,Model accuracy in disagreements,0.4566666666666666,45.7%,percent,300,Model straight-up accuracy only in games where it disagreed with the Vegas favorite.,analysis/market_benchmark_summary.csv
2026,3,2026-09-22T21:15:24.366566+00:00,market_benchmark,150,disagreement_vegas_accuracy,Vegas accuracy in disagreements,0.5433333333333333,54.3%,percent,300,No-vig Vegas favorite straight-up accuracy in model disagreement games.,analysis/market_benchmark_summary.csv
2026,3,2026-09-22T21:15:24.366566+00:00,market_benchmark,160,overall_model_side_moneyline_roi,Model-side moneyline ROI,-0.0290929361047949,-2.9%,percent,2251,Flat one-unit ROI from betting the model-selected side at listed moneyline odds.,analysis/market_benchmark_summary.csv
2026,3,2026-09-22T21:15:24.366566+00:00,market_benchmark,170,disagreement_moneyline_roi,Disagreement moneyline ROI,0.0005742198182961,0.1%,percent,300,Flat one-unit ROI when betting the model side only in favorite-disagreement games.,analysis/market_disagreement_roi.csv
2026,3,2026-09-22T21:15:24.366566+00:00,spread_edge,210,best_spread_side,Best spread side,home,Home >3 pts,side,225,Best corrected spread ROI row from the current backtest summary.,analysis/market_roi_spread.csv
2026,3,2026-09-22T21:15:24.366566+00:00,spread_edge,220,best_spread_threshold_points,Best spread edge threshold,3.0,3.00,points,225,Best corrected spread ROI row from the current backtest summary.,analysis/market_roi_spread.csv
2026,3,2026-09-22T21:15:24.366566+00:00,spread_edge,230,best_spread_roi,Best spread ROI,0.0265670433778752,2.7%,percent,225,Best corrected spread ROI row from the current backtest summary.,analysis/market_roi_spread.csv
2026,3,2026-09-22T21:15:24.366566+00:00,spread_edge,240,best_spread_bets,Best spread sample,225,225,bets,225,Best corrected spread ROI row from the current backtest summary.,analysis/market_roi_spread.csv
2026,3,2026-09-22T21:15:24.366566+00:00,spread_edge,250,best_spread_hit_rate,Best spread hit rate,0.536697247706422,53.7%,percent,225,Best corrected spread ROI row from the current backtest summary.,analysis/market_roi_spread.csv
